,index,target,document,vader,pmi_ir,pmi_ir_binary
0,1893,1,"let me open this one with a confession : i love cop movies . 
i adore them with such an unwavering , near foolish passion that i was actually one of the first in line to see 1998's one tough cop starring the smirkiest of the baldwin brothers , steven . 
was it any good ? 
well , just about as good as baldwin's steven seagal impression ( for those i've confused the answer is a resounding no ! ) . 
now let me clarify , i don't love just any cop movie ; i'm not too keen on the smug buddy cop flicks that were so in vogue in the 80's and now slowly ( gulp ) returning thanks to jackie chan and chris tucker . 
i'm partial to those gritty , earthy cop dramas like serpico , donnie brasco , and the french connection . 
problem is these films come along just about as often as george w . bush makes a cogent point so whenever a "" true "" cop movie does hit multiplexes , i come running towards it like an eager puppy ? ? ? and inevitably i leave , head bowed , tripping over my squiggly tail . 
so what is it about cop movies that transform me into a moron willing to shell out $7 . 50 for a movie called one tough cop ( which actually sounds a lot like a wiseguy spin-off , no ? ) ? 
truth is i'm a sucker for those barren streets , that gritty , graffiti strewn modernist jungle where dangerous criminals lurk and cops , like modern day knights , must shield us from their iniquitous clutches . 
yes it's all very corny and awfully boys clubish , which , i'm guessing , is precisely where these feelings come from . 
as little tots us boys are brought up to create our own wars with gi joe's , enact cops and robbers or cowboy and indian fantasies , etc . the best gritty cop films tap into those gleeful adolescent fantasies , and heighten them , turning it all into an existential nightmare of thin moral lines and psychological chaos . 
as an adult my tastes haven't changed all that drastically ; sure i can get a cerebral high from the emotional complexities of a krzysztof kieslowski film , but i still delight at the promise a "" guy "" film could potentially bring . 
now what if it's the cops who're the corrupt ones ? 
ooh that one really gets me going , these protectors using all that at their service , taking advantage of others for their own gain . 
throw a courtroom drama ( yech ! ) 
into the pot and you have the tremendously absorbing sidney lumet film prince of the city . 
how absorbing is prince of the city , you ask ? 
so damn absorbing that when the film shifts from gritty undercover cop drama to courtroom drama ( a sub-genre i loath the way kristy swanson must loath sarah michelle gellar ) i remained completely and utterly involved . 
the film stars treat williams , who gives the kind of performance that should have skyrocketed his career up to the level that brad pitt currently resides at . 
since i was hatched a mere two years prior to the release of prince of the city , i cannot provide an answer as to why it didn't . 
 ( though judging from his recent roles in tripe like deep rising and dead heat i would guess that it probably has something to do with quite a few bad career moves ) . 
like mickey rourke and eric roberts ( both of whom are currently doing time in direct to video purgatory ) williams is a talented leading man who didn't make it to where he should have . 
 ( if there was any justice in this dog gone world keanu reeves would be the one banished to direct to video hell ) . 
here , the actor is given a role not all that dissimilar from al pacino's in serpico ( also directed by lumet ) . 
williams plays danny ciello , a member of an elite squad of police officers who take down drug dealers on the gritty pre-juliani streets of new york . 
they work without uniforms or hours much like paid vigilantes . 
and that analogy is more than apt seeing as how the bunch are kinda sorta forced into using corrupt means to get the job done . 
the squad relies entirely on informants ( low level junkies ) to gain access to the big wigs , and in order to obtain the info they seek , they sometimes have to provide the junkies with the junk of their choice . 
danny has done this , and though he's a fairly honorable guy , who took the job in order to do good , his intentions have gotten a bit skewed along the way . 
he seeks redemption and concludes that the best way to go about getting it is by talking to internal affairs who then convince him to go undercover as a "" double agent "" . 
he does so with one condition : he will not rat on his partners . 
right away we know that that is exactly what he'll have to do . 
and watching the movie build to that is thrilling in the way that any great character driven story can be . 
undercover cop films are almost innately exciting , even the kind that pull out all the cliches ( like in too deep ) . 
how can one not be moved by the issues of betrayal , ambiguity , and the danger in putting oneself in such a risky position ? 
prince of the city takes all this and charges it with a perceptive , hard boiled script and taut unintrusive direction by old pro sidney lumet , as well as a handful of intense performances , most notably by treat . 
lumet's greatest contribution to the movie is how he lays back , and lets the camera soak up the action . 
his scenes transition rapidly from one to the next building layers of tension , and he rarely holds for reaction shots , instead he clicks away at precisely the moment a character stops yakking . 
lumet's worst tendency is one that many film makers ( especially oliver stone ) tend to overuse : he relies a little too heavily on actors shouting their lines at each other presumably in order to ratchet up the tension . 
this isn't as much a problem here as it was in night falls on manhattan , lumet's most recent cop \ lawyer endeavor , a movie that nearly gave me an ulcer from just watching . 
though of late lumet has made several really awful career choices ( maybe he and treat should get together for a drink or something ) , the most recent a completely unnecessary remake of gloria , here he was on , sustaining tension in a film that runs for 167 minutes with not one dull spot . 
some of the formula pictures i like the best are the most simplistic . 
hollywood often forgets how easy it is to make these kinds of pictures even tolerable . 
of course cop movies aren't popular anymore ( yes buddy cop flicks are popular but those are more like extended sitcoms with gunfire amid the punch lines ) , but just look at the average hollywood action movies , flicks so bloated and full of unnecessary fat like the boring love interest that serves no purpose other than to stall the action and demonstrate that our hero isn't gay , the lame comic relief character who's never funny , and on and on . 
for all its moral ambiguities prince of the city is a back to the basics cop \ courtroom drama that leaves out all the crap and really thrills . 
it focuses completely on its story , and its characters all of whom are completely believable from the cops to the lawyers to the junkies . 
there's a great scene early on where an irate williams shouts at an ia officer and looks as if he's about to go into one of those corny braveheart inspirational speeches , but instead he breaks down in front of the cop and begins sobbing . 
this is a scene that would never make it into a michael bay film ( even though bruce willis sacrifices his life at the end of armageddon , not one damn tear ) it would be cut out because the director would say oh that makes him too human , excuse me , weak . 
in the very next scene danny speaks in a hushed raspiness , straining to get the words out . 
he's lost his voice . 
does that little itty bitty detail matter ? 
maybe not to most , but it sure made my night . 
and in a sprawling epic of corruption , greed , betrayal and violence it's nice to see that someone is paying attention to the little things . 
",1,0.11620548928024847,1
1,898,0,"okay , okay . 
maybe i wasn't in the mood to watch a mindless action movie ; i am the same person that liked lethal weapon iii , even while admitting that it wasn't as good as the others . 
howewer , the latest segal picture didn't look that bad , and since none of my friends would go see a woody allen movie even if i paid them , i went to see it expecting a mild die hard rehash . 
boy , was i wrong ! 
in the first half of the movie , we are already assaulted with segal's acting , ( he is not simply wooden ; he is like a wall ) , gratuitous violence , an incredible plot , sexist and even more gratuitous nudity , and bad lines that obviously were meant as jokes . 
by the end , it is obvious that hundreds of navy men are no match for thirty armed special forces soldiers . 
not once in the movie did segal appear worried or undecided , which did not do much for increasing the unexistent suspense . 
of course , in movies like these , there must be a sidekick , and a love interest . 
in these one we are given a two for one package in the form of a playboy model ( in the movie ) , which only functions as a supposed comic relief ( by the way of extremely stupid unfunny lines ) , and to have watering eyes and look away every time something bad happens in the movie . 
oh , of course , she appears naked from the waist up , and , of course , segal kisses her at the end after no development of their relationship ; they did not even seem to be interested in each other . 
i have never seen so little chemistry between two people in a movie . 
often , the villain saves the movie ; unfortunately , the villains here are cartoonish , stupid and unfunny , unmenacing . 
how many movies have psycho ex-special forces bad guys ? 
too many . 
i was able to predict the action all throughout the movie , including the moment where the sidekick saves the hero from certain death , the scene where the bad guy can kill the hero but proceeds to explain his plan to him , the scene where we are shown the hero's superiors are stupid , the scene where the bad guy loses his gun and has to fight the hero hand to hand , etc . . . 
simply said , this is movie-making by the numbers , boring , and potentially offensive in going for the lowest common denominator of the audience . 
my recommendation : if you go see it , bring a watch . 
you'll be looking at it for most of the movie . 
my . 
rent die hard . 
read a book . 
stare at the sky . 
do not waste your time on this worthless piece of celluloid . 
the real sad thing is that there are a lot of movies out that i would rather have seen ; once again , dragged in by my friends , which by the way , liked the movie halfheartedly . 
they probably like wrestling too : - ) . 
",0,-0.026903610576814018,0
2,1578,1,"for a movie about disco-era excess , "" 54 "" comes up surprisingly short on the sleazy happenings at the titular late 1970s and early 1980s manhattan dance club . 
think of it as a sort of "" boogie nights "" -lite - where that similarly-structured and -set portrayal of the porn industry was loaded with salacious goings-on and skidded on a destructive midpoint tone shift , "" 54 "" leaves the kinkier details to your imagination . 
it never needlessly revels in its seedy subject matter , but it thankfully never resorts to preaching , either . 
in fact , were it not for the rampant drug use and the intermittent dark moment , "" 54 "" would be about as feathery as the time period's popular female hairstyle . 
studio 54 was a haven for the rich , famous and generally good-looking before it closed its doors forever in 1986 . 
inside , anything went and , we are told , everything did . 
the film's fictional main character is shane o'shea ( ryan phillippe , the jerky jock from "" i know what you did last summer "" ) , a fresh-faced 19-year-old who dreams of venturing beyond the club's velvet rope and coming face-to-face with the wild decadence he can only read about in magazines . 
his wish comes true when studio 54 owner steve rubell ( mike myers ) spots him amongst a crowd of gawkers one night in '79 and permits him passage - but not before he doffs his hideous shirt , of course . 
once inside , shane becomes seduced by the club's dizzying vortex of sex and drugs . 
he has such a good time that he doesn't want to leave , so he seeks employment as a busboy . 
he quickly becomes friends with greg ( breckin meyer ) and anita ( salma hayek ) , a married couple who work along side of him ; greg's a fellow busboy with aspirations to make the big money as a studio 54 bartender , while anita checks coats but desires a recording contract to call her own . 
after rubbing elbows ( among other things ) with a renowned socialite ( sela ward ) and gaining the personal interest of rubell , shane begins to ascend to the upper echelons of 54 . 
but fame doesn't come without a price . 
 "" 54 "" 's major shortcomings lie within its handling of the supporting players - at a slim hour-and-a-half , the film is too short to take on such a multi-character focus , and more than a few balls are dropped in the resulting juggling act . 
alleged last-minute edits and reshoots are more than likely to blame for the occasionally rushed development and ambiguous interaction , since "" 54 "" sometimes feels like it's missing a scene here or there . 
nowhere is this more apparent than in shane's relationship with soap opera actress julie black ( neve campbell ) , a frequent studio 54 patron whom he's long admired from afar . 
the romance is prodded along before it has a chance to transform into something special . 
that "" 54 "" works despite these limitations , then , is largely due to the competence and energy with which it's assembled . 
sure , it's shallow , slick , sanitized portrait of a bygone age , and sure , we've seen the rags-to-riches story gazillions of times , but debut director and screenwriter mark christopher keeps things moving with lively snapshots of the studio 54 hustle and bustle and an even livelier cast to inhabit his bouncy vision . 
the film boasts some fine comic creativity , the pinnacle of which is disco dottie ( "" the wedding singer "" 's ellen dow ) , an elderly dancing queen who plays the loving grandmother in public , but slides up to shane behind 54's closed doors and asks for a "" funky little treat . "" 
the solid , sexy cast smooths out - if only while you're caught up in the film - any rough spots belonging to their alter-egos or the plot . 
newcomer phillippe has the charisma and joisey accent down pat ; he and campbell , as fetching as ever , look so good together it's a shame their subplot goes nowhere . 
meyer exhibits the congenial appeal that made him a delight to watch in "" clueless "" ( he was the stoner with the joker-smile ) , while hayek simply sizzles , especially when leading a dance class with the mantra , "" one , two , three , attitude ! "" 
sherry stringfield , unidentifiable under big '70s hair , takes on her first big-screen gig since she left "" er "" as rubell's accountant , but she's criminally underused . 
as the droopy-eyed , drug-addled steve rubell , myers is worth the price of admission alone . 
when he's not playing the life of the party , the ex- "" saturday night live "" comedian strips away all of rubell's confidence and swagger to show a man desperately trying to fill his empty , unhappy life with exorbitance ; it's a moment worthy of pity when , while lounging on a bed of money and vomiting from a particularly heavy evening , he attempts to seduce one of his employees . 
and while his performance is largely serious , myers mixes the empathy with a delicate "" austin powers "" -esque wink , thus keeping consistent with "" 54 "" 's overall feel - gaudy , larger-than-life and satisfyingly ornamental , not unlike a giant disco ball . 
",1,0.22851227043076214,1
3,559,0,"this is a film that i was inclined to like at the outset : the two main characters had been involved with the fine television drama st . 
elsewhere for several years , and i had understood that the director/screenwriter had written for the show on occasion also . 
i am sorry to report that the results were not up to my expectations , nor were they satisfactory . 
if i had to list a reason why . . . . 
but that would be getting ahead of myself ; besides , it's not immediately clear , as there are so many problems with the film . 
adam arkin plays a grade-school teacher who is sardonic , cynical , and somewhat abrasive , but a good teacher . 
he spends his lunches playing basketball by himself on a nearby court . 
one day , he meets a drifter ( david morse , who plays jack morrison on st . 
elsewhere ) in the park , and inveigles him in a game of one-on-one basketball . 
morse turns out to be good , and a friendship slowly develops between the two , as their respective professions progress on the screen--arkin's teaching , and morse's selling of paper flowers to passing motorists . 
so far , my major complaint would be the lack of dialogue , and the constant intrusion of the musical soundtrack . 
good music to be sure , but it doesn't replace the dialogue for setting the mood or telling the story--it makes the film somewhat minimalistic , a technique i rarely admire . 
suddenly their friendship is interrupted by morse's introduction to a fellow teacher of arkin's , a woman arkin has long admired from afar , but it too reticent to approach . 
it appears that she begins to admire morse ( who enjoys here attentions , but isn't sure what to do about it--she doesn't realize that he is a drifter , and knows nothing about his past ) , and this causes friction between arkin and almost everyone else . 
until then , i had only a vague dissatisfaction with the film . 
the conclusion is where it begins to evolve into a full-fledged failure . 
the woman , at least to me , appeared to be fairly shallow ; i didn't realize how shallow until her final scene with arkin , where she reveals that she has been trying to make arkin jealous by her attentions to morse . 
somehow , this is made to appear as if it is arkin's fault , and it is left with him feeling somehow victorious that he's gotten such a find of girlfriend . 
frankly , dropping her on the spot would have seemed the most civilized action arkin could make ; punching her in the mouth not the least . 
after this , the childish confrontation between morse and arkin at the end seems almost natural . 
if i had to summarize a major gripe , it's that this is a story spread too thin , that creates semi-likable characters at the outset , and then suddenly jerks them into being 16-year-olds at the last moment . 
it might be true-to-life with some people ; but that doesn't mean * i * have to like it . 
i don't . 
 . 
avoid . 
",1,0.1838058939166091,1
4,88,0,"the first film produced by adam sandler's happy madison production company ( clever title eh ? ) is essentially a one joke movie , much like the movies sandler stars in himself . 
however the difference here is that this one joke just isn't very funny . 
rob schneider stars as the title character , a scruffy fish tank cleaner who ends up becoming a "" man-whore "" to raise enough money to replace a wealthy client's custom made fish tank , which deuce destroyed while staying in his home . 
deuce goes on numerous "" dates "" , and each woman he goes out with has a "" humorous "" quirk about herself . 
one has narcolepsy , one has tourette's syndrome , one is a man . . . 
etc . etc . 
my problem is that we see all of these women in the film's trailer , so why do i need to watch the movie ? 
seen the trailer . . . 
seen the film . 
only a quick cameo from norm macdonald ( and a follow up joke during the closing credits ) generates any chuckles . 
deuce bigalow : male gigolo is available on dvd from touchstone home video ( a division of di$ney ) . 
the disc includes the film in its original theatrical aspect ratio of 1 . 85 : 1 , and features the original theatrical trailer ( as well as trailers for mystery alaska , happy texas , and outside providence ) , an extremely brief production featurette ( which contains footage not used in the film ) , and storyboard-to-scene comparisons . 
yep , you read that right . . . 
there are storyboard comparisons on this dvd . 
two scenes are storyboarded . . . 
neither of which are particularly exciting . 
there are fight scenes in this movie , so why aren't we seeing storyboards of those segments ( especially the parody moments from the matrix ) ? 
i wonder what's funnier : the fact that any moment in this film required storyboards or that di$ney thought fans of this film would want to see them ? 
deleted scenes ? 
sure . 
audio commentary ? 
you betcha . 
but storyboards ? 
come on . 
[r] 
",1,0.6746623461504835,1
5,1470,1," "" love is the devil "" is a challenging film , munundating its audience with wild imagery and a plot structure that disallows a plot , perhaps in an attempt to get us to know the artist's psyche rather than the artist's lifeline . 
watching it , i was enthralled with the look of the film , the way the director shot everything like it was looking through a bizarre , personalized filter . 
everything looks like it is not how life looks like but how painter francis bacon , the film's subject , looked at it personally . 
but while i was engrossed , i stumbled upon my thoughts halfway through the film , awakened from my trance by some inner distraction , and began to try and follow what's going on . 
exactly what was i looking at ? 
watching this film , i wasn't sure if it was the most insightful film i had ever seen or the most vacuous . 
directed ( and written ) by john maybury , "" love is the devil "" is stylish masterpiece for the senses . 
everything looks originally bizarre and perplexing . 
the camera angles are ferociously askew , and the close-ups are uncomfortably too close . 
the editing is deft , occasionally cutting away to something bizarre every couple seconds , but other times holding on a shot for so long that you wonder if the audience is not supposed to be voyeurs , or rather , intruders to bacon's world and psyche . 
as such , there is no real story . 
i've not heard much about francis bacon that i didn't read prior to the film , but what i learned was this : he was a painter in england who reached his peak during the 60s and 70s , drawing hideously bizarre drawings of carnage and the like . 
he was one of the first to really come out of the closet , and in interviews , he was notoriously drunk yet incredibly witty . 
as played by great shakesperean actor derek jacobi , he's like a foppish and self-absorbed cross between oscar wilde and nero . 
he lives life the way he wants to live it , to the disatisfaction of those who have the privelege of being really close to him . 
it's as if he were taking delight in the destruction of others and maybe himself ( "" champagne for my real friends , and pain for my sham friends , "" he says one night at the bar he frequents ) . 
 "" love is the devil "" chronicles the latter part of his life . 
bacon , well-known in his mid-life , awakens one night when he hears a man tumble through his ceiling window and land on the floor . 
he walks in , unafraid of what he finds , and discovers a thief , george dyer ( daniel craig ) . 
bacon gives him an offer : if he spends the night with him , he can take anything he wants in the morning . 
george agrees to this , and off to bed he goes , but ends up staying with him , for whatever reason . 
the film shows their lives together , at least in reference to one another . 
while creating bacon's world of friends ( like "" high art , "" this film minors in showing a certain group of people who radiate a connection that is not shown but is understood ) , the film shows the relationship of bacon and george as it remains rather stagnant . 
bacon is haughty and bizarre ; george is simple and doesn't understand bacon in the least , especially not his paintings . 
while watching this , that's basically all i thought was there . 
the film has a hypnotic feel , free of any restraints of form , and is shot so uniquely that i felt my attention was almost entirely on the way this film was made rather than what it is about . 
once the film is over , it's easier to piece it together . 
i kept on thinking about this film , wondering what the point to all of it was . 
someone doesn't merely make a film of all style and no substance at all , and if they do , they do it by accident , but still allow some substance to creep in . 
thinking about it , i remembered how the two fed off of eachother . 
i thought about how bacon was a masochist , in love with cruelty ( in one scene , he watches a boxing match with a orgiastic delight , and lets out a squeal of pleasure when blood from the one boxer's head splashes across his face ; in another scene , he masturbates to the odessa steps sequence of eisenstein's "" battleship potemkin "" ) , and perhaps he drove george too far in his delight for pain . 
he drove him over the edge , and for him that was love , even if it wasn't for george . 
i guess that explains the title . 
a bit . 
that's great and all , but i almost wish the film was devoid of any meaning . 
i wish it hadn't reduced itself to making some point about humanity , about how love is the most selfish thing in the world ( and it is , if you look at it a certain way ) . 
or maybe if it had avoided any meaning about humanity and merely drove itself into being the one film that was truly inside one man's twisted pysche . 
it's almost always best to obtain insights from looking at one man's uniqueness than it is forcing universality down an audience's throat . 
that way you don't reduce your film to something it's just not . 
i can't say i totally enjoyed "" love is the devil , "" though . 
despite all of the things i respect about this movie , it's still rather uncomfortable to sit through . 
even at a normally trite length of ninety minutes , the film still seems like an arduous task to sit through , especially after an exhausting first hour . 
though hypnotic , it still almost seems gimmicky and even redundant at times , as if it were taking advantage of one man's truly bizarre nature but not doing anything deeper with it . 
as such , i respect the way the film looks . 
it's beautiful and painstakingly crafted so that , along with "" what dreams may come "" and "" dark city , "" it's the year's most visually stunning film . 
in fact , if a better script had been forged , i'd almost compare it in visual power to a peter greenaway film , complete with similar haunting images that stick in the mind forever . 
and with a dymanite performance by derek jacobi , it has the comic and distanced tone that it needs . 
i just wish it had been more than mostly style and just a hair bit of substance . 
then i would have had something to hold me over even now . 
",1,0.05199415501658276,1
6,1697,1,"another 'independent film' , this comedy , which was brought by miramax for $5 million , is good fun . 
favreau and vaughn ( the lost world : jurassic park , 1997 ) play mike and trent , two everyday 20somethings on the lookout for women . 
the film just basically follows their plight on the lookout for lurve , and along the way we get to meet some of their friends , see their attempts at chatting up girls , and just basically get a insight into their lives . 
and all of this is great fun . 
swingers doesn't rely on huge special effects , or big name stars to provide entertainment . 
no , it just has a great script and superb little known actors . 
the script , by favreau , is great . 
mike is always missing is girlfriend , who hasn't called him for six months , and every time he meets a girl , he always end up telling her about the ex . 
the audience feels for this pathetic little man , thanks to the great script . 
vaughn is 'the money' ( swingers speak for 'the best' ) as the womanizing trent , always on the lookout for a new girl . 
some of his chat-up lines are awful , but he always seems to get the girl thanks to his 'hard man' nature . 
vaughns character also gets the best laugh in the film , towards the end in a diner . 
the conversations that go on between mike and trent are great , but it never quite reaches tarantino standards ( which i suspect the film was trying to reach . ) 
there are some excellent , laugh out loud jokes in the film , and some superbly funny set pieces ( such as favreau cringe-worhy battle with a answer machine that always cut him off before he finishes his sentence . 
embarrassing to him , hilarious to the audience . ) 
mike & trents friends are also good , although there characters seem a bit underwritten , and we never really learn as much as we would like about them . 
although this is primarily mike and trents film , it would of been nice to learn a bit more about their friends . 
they just seem to wander aimlessly in the background . 
but again , the lines they say are usually pretty good , and they do have some funny parts . 
it's just a shame that they didn't have more meatier roles . 
the acting is superb . 
as said above , vaughn is superb as trent , he's definitely the best thing in the film . 
favreau is also good , acting as 'the little man' very well , and the way he always feels sorry for himself is very funny . 
graham ( boogie nights , 1997 ) has a small but good role as lorraine , a girl mike finally falls in love with . 
she hardly features in the film at all , but she still manages to make an impact on the audience . 
swingers , then , is funny , but it does have some flaws . 
firstly , the running time is a bit too short . 
the film comes to an abrupt halt , and i actually wanted the film to carry on longer . 
it never really comes to a satisfying conclusion , which is a shame , as most films are too long ! 
also , this type of film has been done too many times , such as sleep with me ( 1994 ) . 
but these small flaws don't really spoil what is a funny , entertaining comedy . 
",1,0.32108318890066484,1
7,1744,1,"eight years after its release , disney has decided to re-release the little mermaid theatrically for 17 days ( and 17 long nights ) only . 
coincidentally , it was reintroduced to theaters the same day fox's animated film anastasia was released . 
you know disney , they can't deal with the threat of any other studio getting even a small piece of the crust of the kiddie entertainment pie , so when someone else wants to make a little money , they counter with an old "" masterpiece "" from their vault and , you know what , i went to see this 1989 cartoon rather than the brand new one from fox . 
let no one say disney is losing its monopoly on the market . 
they still have hotels on boardwalk _and_ park place . 
believe it or not , today , november 25 , 1997 , at 5 : 05 p . m . , i saw the little mermaid for the first time . 
it took me a few years to get over an aversion to this movie that was caused seven years ago , when i stayed with one of my mom's friends for a couple weeks . 
they had a young child who listened to the little mermaid soundtrack constantly and , over that two week period , i heard every song from the movie probably a hundred times . 
by the time i got back home , i promised myself i'd never see the movie . 
but promises are made to be broken , especially when you're looking at a 17-day , limited engagement . 
damn those shrewd disney marketers and their mind games . 
the little mermaid is based on a hans christian anderson fairy tale , but it's disney-ized , which means lots of talking animals and bursting into song . 
it also means the heroine is a total babe who shows off cleavage from a seashell bra at all times . 
i never wanted so much to be a pair of shells . . . 
the heroine , of course , is ariel ( voice of jodi benson ) , a 16-year-old mermaid who is going through that rebellious phase . 
she skips her concert to explore a wrecked ship and hang out with a seagull that talks like buddy hackett , who tries to orient her to the mysterious world of humans . 
she's also dealing with feelings she hasn't had before -- which comes when you get scales in places you didn't use to have them -- about a handsome prince ( no disney movie would be complete without one ) . 
her father , king triton of the merpeople , strictly forbids such lusting after the ways of the "" savage "" humans , in a condemnation that reads as a not-so-subtle analogy about old- fashioned parents who forbid interracial dating . 
what's a king to do , though ? 
the girl's in love and even total destruction of her little shrine to the human world doesn't deter her . 
ariel saves the prince's life when a hurricane rises up , and just has to meet him . 
she makes a deal with ursula , the sea witch ( voice of pat carroll ) . 
you know she's evil because she has a huge potbelly and one of the worst asses in cartoon history . 
she also has octopus tentacles for feet ( something those dr . scholl's corn pads will not fix ) and offers to help ariel out . 
she'll make her a human for three days if ariel will give up her pretty voice ; ariel has three days to make that prince kiss her , or else she becomes a slave to the witch forever . 
and if she pricks her finger on a sewing machine or eats an evil apple , she'll fall asleep forever . 
it's a simplistic plot , yes , but the little mermaid was a revolution in the disney world , coming after such lackluster efforts as the black cauldron and oliver and company . 
it ranks as one of the best disney cartoons , certainly since the '50s . 
all the elements are there -- memorable songs like "" under the sea "" and "" kiss the girl , "" cartoon animals like sebastian and flounder , an evil villain who still has characterization and charm , and a fair amount of humor that caters to adults as well as children . 
the little mermaid is worth a big-screen ticket in 1997 , so hurry up , you only have five days left . 
serving america for more than 1/25th of a century ! 
",1,0.38949245582243947,1
8,707,0,"one of the 90s' most unwelcome thriller trends returns from the grave : it's the "" ___ from hell "" movie ! 
starting in the early nineties , we were subjected to nearly every conceivable combination of relationships-from-hell ! 
there were boyfriends from hell , friendly neighborhood cops from hell , nannies from hell , and even secretaries from hell . 
but hush has found an old standby that somehow was forgotten in the rush : the mother-in-law from hell ! ! ! ! ! 
the mother-in-law in question is martha , played by jessica lange . 
she has been single-handedly running the family horse farm , kilronan . 
her son , jackson ( johnathon schaech ) and his girlfriend , helen ( gwyneth paltrow ) , live in new york , and have no intention to move back down south to the rural kilronan . 
but those intentions are about to change . 
you see , martha lives by manipulation . 
she has used it in years past to breed many championship horses . 
now , she believes she can use it to breed herself a grandson . 
though at first , helen finds martha charming , soon she is caught in the domineering martha's web of deception . 
it's hard to understand why nobody ever wises up to martha' schemes . 
as written , most of the characters in the film must be very slow witted . 
but then , the film even treats the audience like idiots . 
it tries to get away with things ( like leaving a critical piece of evidence in a rather unlikely place ) without even batting an eye . 
then again an audience which accepts characters as shallow as these isn't one that's likely to question details . 
jessica lange's martha is the only semi-developed character in the film , and she applies her talents to redeem it as much as she can . 
a character that could have been simply awful is merely groan-worthy . 
gwyneth paltrow doesn't have much to build upon , as helen's only character trait seems to be "" daughter-in-law "" . 
still , she fares better than johnathon schaech , whose character is so nonexistent , he's inexplicably missing for much of the film . 
still , there have been much worse "" ____ from hell "" films . 
even with its paper-thin characters and ludicrous setups , hush manages to create a few thrills in a color-by-numbers fashion . 
you know what's coming , but occasionally the film will deliver a shock or two . 
the old formulas are around for a reason , but that doesn't mean they taste fresh . 
",0,0.5256426803689798,1
9,1488,1,"it has happened again . 
a movie that is well scripted , well acted , and well directed . 
it is involving , suspenseful . . . 
it even has an unexpected twist at the end that packs a punch like a blow to the solar plexus . 
but in order to accept its premise one must also accept a spiritual lie . 
the sixth sense is that movie . 
starring bruce willis ( armageddon ) as a child psychologist and haley joel osment ( forrest gump ) as a troubled youngster , the sixth sense is more spooky than scary , though it does contain disturbing images designed to startle . 
eight-year-old cole sear ( osment ) sees dead people . 
not just in dreams . 
and not just as lifeless bodies . 
he sees them walking around like regular people . 
and he sees them all the time . 
dr . malcolm crowe ( willis ) is trying to help him . 
he recognizes in cole many of the same attributes as one of his earlier patients whom crowe failed , resulting in that patient shooting crowe before turning the gun on himself . 
if crowe could manage to find a way to help cole , he believes he just might be able to put his own demons to rest . 
but first he needs to gain cole's trust . 
the boy is so frightened by what he sees , he has closed himself off emotionally , being unwilling to tell anyone . . . 
not crowe , not even his own mother ( toni collette , clockwatchers ) . . . 
about his "" secrets . "" 
crowe begins to spend more and more time with him , even as his own marriage starts to dissolve around him , his wife anna ( olivia williams , rushmore ) becoming cold and distant because of his neglect of her and his preoccupation with the boy . 
bruce willis underplays his role , allowing the excellent script to do most of the work of building character development . 
crowe moves from treating a troubled boy who won't communicate , to treating a troubled boy who is having hallucinations , to wondering if perhaps there isn't some truth behind what the boy sees . 
mr . willis does a serviceable job , letting the focus remain on the story instead of on his familiar action hero screen persona . 
eleven-year-old haley joel osment manages to impress us with his performance . 
he demonstrates an amazing amount of self-composure as well as an ability to play nuances in a complex character as if he were a seasoned pro . 
it is fine work for one of such a tender age . 
keep your eye on this young man . 
the supporting cast is also quite effective . 
toni collette , as the confused , frightened , and frustrated mother who can't understand what is happening to her child ; olivia williams , as crowe's once loving wife who is shutting down emotionally due to the lack of attention from her husband ; and donnie wahlberg ( ransom ) as crowe's ex-patient , now grown , who illustrates his doctor's failure to help him in the most vivid terms imaginable . 
twenty-eight year old m . night shyamalan ( wide awake ) directed his own script , maintaining a proper tension throughout the film and crafting the storytelling so expertly that the film's full impact is not reached until its final moments , when a surprising revelation forces a reevaluation of all that preceded it . 
it is a rare movie which manages to pull that off and mr . shyamalan , as the one responsible , is certainly to be commended . 
in giving the sixth sense a favorable "" three star "" review for its craftsmanship and artistic merit , i must also point out that , spiritually speaking , the film is highly misleading . 
there is no scriptural foundation upon which to base a belief in ghosts or the "" living dead . "" 
the concept of death being a doorway to another plane of existence is a devilish lie that has been around as long as man himself . 
the first lie recorded in the bible was devised by the serpent who assured eve , "" thou shall not surely die , "" a direct contradiction of god's admonition . 
that same lie has been perpetuated ad infinitum throughout the ages . 
scriptures do speak of a time when the dead shall rise but that wonderful demonstration of victory over death will not commence until after the second coming of christ . . . 
an event which has not yet occurred . 
therefore , the dead remain in a state of oblivion , having no consciousness , until that long-awaited time when the final trump shall sound . 
and then , you'll need six senses to register all the joy and rejoicing that will resound throughout the heavens . 
",1,0.11277918234521422,1
