,abstract,lead_paragraph,headline,keywords,sentiment
0,"Attacks have been traditionally underreported, but fighting the scourge in hate crimes begins with better data, experts say.","When slurs were spray-painted on a kosher market in West Los Angeles, it was classified by law enforcement as an anti-Semitic hate crime. But when a swastika was carved into a park picnic table or spray-painted on a stop sign, it was classified as an anti-religious hate crime. ",Scrutiny Reveals a Rise in Anti-Semitic Crimes,"['ANTI-SEMITISM', 'Hate Crimes', 'New York City', 'Chicago (Ill)', 'Los Angeles (Calif)', 'Synagogues', 'Statistics', 'Vandalism', 'Assaults']",-0.32954365492879123
1,"He deftly manipulated electronic images to produce otherworldly, sometimes jarring visions. He also founded, with his wife, a landmark performance space.","Woody Vasulka, an experimental video artist who found inspiration in sources as diverse as René Magritte, nuclear war and technology, and who was a founder of the Kitchen, the landmark avant-garde performance space in Manhattan, died on Dec. 20 at his home in Santa Fe, N.M. He was 82. ","Woody Vasulka, Who Foresaw Video as Art, Dies at 82","['Vasulka, Woody', 'Deaths (Obituaries)', 'Art', 'Kitchen, The (Manhattan, NY, Performance Space)', 'Video Recordings, Downloads and Streaming']",0.2678708462422003
2,"The past definitely wasn’t past for directors like Quentin Tarantino, Martin Scorsese and Taika Waititi. Each found a way to rewrite history, though some versions were less palatable than others.","It’s Oscar time, which means everything new is old again. The New York Times chief film critics, Manohla Dargis and A.O. Scott, look back on a year of movie nostalgia, uneasy gender relations and Quentin Tarantino’s alt-history. Our critics also have some questions: Why are the men so sad? Why are the women so scarce? Who’s afraid of Jojo Rabbit? ",The Pros and Cons of Nostalgia,"['Movies', 'ACADEMY AWARDS (OSCARS)', '1917 (Movie)', 'Charlie Says (Movie)', 'Ford v Ferrari (Movie)', 'Jojo Rabbit (Movie)', 'Joker (Movie)', 'Little Women (Movie)', 'Once Upon a Time in Hollywood (Movie)', 'Parasite (Movie)', 'The Irishman (Movie)', 'Women and Girls']",0.17932208033212516
4,"Linda Tracy and Peter Tracy had been married 37 years, before divorcing in 2015. When their sons began planning their own weddings, Mom and Dad rediscovered love.","When Donna Adelsberg ran into her best friend’s ex-husband  at the supermarket a few years ago, she intended to leave him standing by the deli with his pastrami and her cold shoulder.","A Love So Persistent, They Had to Marry Twice","['Divorce, Separations and Annulments', 'Baltimore (Md)', 'Marriages']",0.2905503946353418
5,"Split categories allow voters to spread the wealth, but who prevails when Quentin Tarantino, Martin Scorsese, and Bong Joon Ho compete?","What will happen at the Golden Globes? Part of the fun of this ceremony is that you never quite know: A tipsy actor might make a speech too colorful for network censors, or a win could go to the person everyone least suspects. That can make predicting the results of Sunday’s show a bit difficult, especially since the Globes are voted on by the Hollywood Foreign Press Association, an eccentric collection of around 90 journalists: Sometimes, those voters will pick the contender with the most Oscar buzz, but just as often, they’ll go their own unique way. ",A Crystal Ball For an Event Prone to Jolts,"['Movies', 'Golden Globes (Awards)', 'Hustlers (Movie)', 'Joker (Movie)', 'Marriage Story (Movie)', 'Once Upon a Time in Hollywood (Movie)', 'Parasite (Movie)', 'Baumbach, Noah', 'Egerton, Taron (1989- )', 'Pitt, Brad', 'Phoenix, Joaquin', 'Tarantino, Quentin']",0.09941530597586763
6,E.S.P. Conjuring the dead. Speaking with them. Shows like “The Thin Place” and “Our Dear Dead Drug Lord” use the occult to put on a show.,"Listen. Just listen. Not with your ears, but with the part behind and a little above your eyes.","Séance and Theater, Making Believers","['Theater', 'Waters, Les', 'White, Whitney', 'Coward, Noel', 'Our Dear Dead Drug Lord (Play)', 'The Thin Place (Play)', 'The Sorceress (Play)', 'A CHRISTMAS CAROL (PLAY)']",0.055457138477639986
7,"Juwan Howard, Patrick Ewing and Aaron McKie were big players in college and the N.B.A. Now, as coaches, they have help from assistants who were hired for their coaching experience.","About a week before Michigan snatched the attention of the college basketball world with unexpected wins over North Carolina and Gonzaga at the Battle 4 Atlantis tournament in the Bahamas, the Wolverines assistant coach Phil Martelli was as concerned about the casinos there as he was about the basketball games. ",The Gray Eminences Guiding Ex-Stars Who Return as Coaches,"['Basketball (College)', 'Coaches and Managers', 'Georgetown University', 'University of Michigan', 'Ewing, Patrick', 'Howard, Juwan', 'Mullin, Chris (1963- )']",0.2677556689079993
8,"The authorities warned of potentially worse conditions this weekend, but some residents wanted to protect their homes, while others worried about more danger if they fled.","NOWRA, Australia — The smoke is still smoldering from the wildfires that ravaged the small seaside town of Broulee, Australia, on New Year’s Eve, when sand dunes erupted into flames and entire neighborhoods were decimated. ","Despite Worsening Conditions,  Australians Defy Fire Warnings","['Australia', 'Wildfires', 'Evacuations and Evacuees', 'Fires and Firefighters']",-0.41395079719827815
9,"Ms. Warren’s fund-raising haul for the last three months of the year represented a slight dip, though she ended the quarter on a high note.","Senator Elizabeth Warren of Massachusetts raised more than $21.2 million for her presidential campaign in the fourth quarter of 2019, her team announced on Friday, a slight dip from the previous quarter and behind three of her top rivals for the Democratic nomination.",Warren Says She Raised $21.2 Million In Quarter,"['Warren, Elizabeth', 'Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']",0.18485528978330057
10,"Linda Tracy and Peter Tracy had been married 37 years, before divorcing in 2015. When their sons began planning their own weddings, Mom and Dad rediscovered love.","When Donna Adelsberg ran into her best friend’s ex-husband  at the supermarket a few years ago, she intended to leave him standing by the deli with his pastrami and her cold shoulder.","A Love So Persistent, They Had to Marry Twice","['Divorce, Separations and Annulments', 'Baltimore (Md)', 'Marriages']",0.2905503946353418
14,"His request to Parliament is a rare move, and a potentially unpopular one, heading into a general election. But it could keep the Israeli leader out of court.","JERUSALEM — Fighting for his future, Prime Minister Benjamin Netanyahu of Israel on Wednesday asked Parliament to grant him immunity from prosecution in three graft cases, a rare and contentious step that critics say violates the principle of equality before the law.",Netanyahu Seeks Temporary Immunity From Corruption Charges,"['Israel', 'Netanyahu, Benjamin', 'Corruption (Institutional)', 'Immunity from Prosecution', 'Mandelblit, Avichai', 'Lieberman, Avigdor', 'Politics and Government', 'Elections']",-0.12930507500632293
15,"The longtime commissioner received acclaim for building the league into a vital global business, but he also was at the center of contentious disputes.","David Joel Stern was born in Manhattan on Sept. 22, 1942. It was the day after Yom Kippur, the Jewish Day of Atonement, and the Nazi march east through Europe was grinding to a halt outside Stalingrad. Closer to home, the Dodgers topped the Giants, 9-8, in extra innings at Brooklyn’s Ebbets Field. ","A Sometimes Tumultuous but Never Boring Era of Superstars, Growth and Lockouts","['Basketball', 'National Basketball Assn', 'Stern, David Joel (1942- )']",-0.08042699535552067
16,A drama based on a miraculous Missouri incident airs on HBO. And Lifetime airs a follow-up to its much-viewed R. Kelly documentary series.,"BREAKTHROUGH (2019) 8 p.m. on HBO. A tragedy happens on ice — and an apparent miracle happens off it — in this faith-based drama from the TV veteran Roxann Dawson. The screenplay is based on an actual 2015 incident in which John Smith, a Missouri teenager, fell through the frozen surface of a lake and remained submerged long enough for his heart to stop. It started pumping blood again after he was brought to a hospital — but reportedly only when his mother audibly prayed for him. That event and the community’s subsequent push to aid in John’s recovery are at the center of this movie, which follows John (Marcel Ruiz), his mother (Chrissy Metz) and father (Josh Lucas) and a young pastor (Topher Grace). The film “tells the story of John’s miraculous ordeal with an unassuming simplicity, focusing on the harrowing details of the case without an overreliance on proselytization,” Bilge Ebiri wrote in his review for The New York Times. Though faith is ever-present, he added, “the film also wisely dedicates plenty of screen time to the emergency workers and doctors struggling to bring the boy back to life. Here, religion is not in contention with medicine, but seems to work in tandem with it.”",What’s On Thursday,"['Television', 'Movies', 'Raise Hell: The Life & Times of Molly Ivins (Movie)', 'Breakthrough (Movie)', 'Surviving R Kelly (TV Program)']",0.04241089720516826
17,"Readers offer their suggestions for how to revamp the primary process, in response to a column by David Leonhardt.",To the Editor:,Rethinking How We Choose Candidates,"['Primaries and Caucuses', 'Voting and Voters', 'United States Politics and Government', 'Leonhardt, David']",0.10767318475311556
18,"Quotation of the Day for Thursday, January 2, 2020.",“Plse advise the Commissionaires that apparently Fort Frontenac is both a Pokégym and a Pokéstop.”,Quote of the Day,[],0.21011233271995441
21,"“We should almost hire a 12-year-old to help us out with this,” an official wrote.","Seemingly out of nowhere, civilians started driving onto Canadian military bases at odd hours and wandering onto government property in July 2016, distracted by their cellphone screens. Military officials did not know what to make of it. ",Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,"['Pokemon Go (Video Game)', 'Defense and Military Forces', 'Military Bases and Installations', 'Pokemon (Fictional Characters)', 'Mobile Applications', 'Canadian Armed Forces', 'Niantic Inc', 'Canada', 'KINGSTON (ONTARIO)', 'North Bay (Ontario)', 'Nova Scotia (Canada)', 'Ontario (Canada)', 'Augmented Reality (Computers)']",0.13321980844357428
22,"David Shariatmadari’s book delves into issues like grammar snobbery, quirks of human and animal speech, and the transformation of even the simplest words.","This morning, a couple stood outside my window, arguing.",What You’re Saying Is Subject to Reinvention,"[""Don't Believe a Word (Book)"", 'Books and Literature', 'Language and Languages', 'Shariatmadari, David']",0.1493949969368802
24,"Stern was known as a fierce negotiator who was considerate of the racial implications of overseeing a mostly black league, though he also faced criticism for some of his decisions.","It was late in the summer of 1995, weeks of labor strife having consumed the N.B.A., and an off-season lockout had come to an end. David Stern, suddenly viewed by players as more corporate pariah than patriarchal commissioner, was asked about Michael Jordan’s uncharacteristic (anti-owner) activism, which one national commentator had compared to a “drive-by shooting.”",The Guardian of the N.B.A.,"['Basketball', 'Black People', 'Race and Ethnicity', 'National Basketball Assn', 'Stern, David Joel (1942- )', 'Labor and Jobs']",0.008324471403192969
25,A meeting with President Volodymyr Zelensky of Ukraine would have been the first for a top Trump official since the impeachment inquiry began.,"WASHINGTON — Secretary of State Mike Pompeo on Wednesday canceled a weeklong trip to Ukraine and four other nations to stay in Washington and monitor tensions in Iraq after protesters broke into the United States Embassy compound in Baghdad and wrecked parts of it, the State Department said.",Pompeo Cancels Ukraine Trip Over Iraq,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Pompeo, Mike', 'Zelensky, Volodymyr', 'Ukraine', 'State Department', 'United States International Relations', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Iraq', 'Trump, Donald J']",0.236400246400618
